Time,Wind_power/MW
03/19/2021 20:20,730
03/19/2021 20:25,638
03/19/2021 20:30,599
03/19/2021 20:35,585
03/19/2021 20:40,617
03/19/2021 20:45,610
03/19/2021 20:50,593
03/19/2021 20:55,551
03/19/2021 21:00,525
03/19/2021 21:05,545
03/19/2021 21:10,537
03/19/2021 21:15,498
03/19/2021 21:20,507
03/19/2021 21:25,529
03/19/2021 21:30,552
03/19/2021 21:35,556
03/19/2021 21:40,585
03/19/2021 21:45,611
03/19/2021 21:50,641
03/19/2021 21:55,656
03/19/2021 22:00,670
03/19/2021 22:05,698
03/19/2021 22:10,711
03/19/2021 22:15,752
03/19/2021 22:20,772
03/19/2021 22:25,793
03/19/2021 22:30,830
03/19/2021 22:35,841
03/19/2021 22:40,804
03/19/2021 22:45,785
03/19/2021 22:50,783
03/19/2021 22:55,786
03/19/2021 23:00,804
03/19/2021 23:05,847
03/19/2021 23:10,863
03/19/2021 23:15,871
03/19/2021 23:20,882
03/19/2021 23:25,897
03/19/2021 23:30,909
03/19/2021 23:35,914
03/19/2021 23:40,922
03/19/2021 23:45,924
03/19/2021 23:50,925
03/19/2021 23:55,981
03/20/2021 00:00,1032
03/20/2021 00:05,1050
03/20/2021 00:10,1073
03/20/2021 00:15,1085
03/20/2021 00:20,1083
03/20/2021 00:25,1057
03/20/2021 00:30,1024
03/20/2021 00:35,999
03/20/2021 00:40,983
03/20/2021 00:45,946
03/20/2021 00:50,942
03/20/2021 00:55,936
03/20/2021 01:00,926
03/20/2021 01:05,936
03/20/2021 01:10,922
03/20/2021 01:15,905
03/20/2021 01:20,900
03/20/2021 01:25,903
03/20/2021 01:30,908
03/20/2021 01:35,923
03/20/2021 01:40,952
03/20/2021 01:45,938
03/20/2021 01:50,932
03/20/2021 01:55,929
03/20/2021 02:00,931
03/20/2021 02:05,954
03/20/2021 02:10,974
03/20/2021 02:15,984
03/20/2021 02:20,992
03/20/2021 02:25,956
03/20/2021 02:30,965
03/20/2021 02:35,995
03/20/2021 02:40,1029
03/20/2021 02:45,1055
03/20/2021 02:50,1056
03/20/2021 02:55,1069
03/20/2021 03:00,1065
03/20/2021 03:05,1092
03/20/2021 03:10,1140
03/20/2021 03:15,1139
03/20/2021 03:20,1148
03/20/2021 03:25,1158
03/20/2021 03:30,1184
03/20/2021 03:35,1185
03/20/2021 03:40,1167
03/20/2021 03:45,1182
03/20/2021 03:50,1184
03/20/2021 03:55,1199
03/20/2021 04:00,1234
03/20/2021 04:05,1271
03/20/2021 04:10,1299
03/20/2021 04:15,1289
03/20/2021 04:20,1279
03/20/2021 04:25,1264
03/20/2021 04:30,1243
03/20/2021 04:35,1231
03/20/2021 04:40,1209
03/20/2021 04:45,1178
03/20/2021 04:50,1173
03/20/2021 04:55,1170
03/20/2021 05:00,1152
03/20/2021 05:05,1103
03/20/2021 05:10,1070
03/20/2021 05:15,1044
03/20/2021 05:20,995
03/20/2021 05:25,950
03/20/2021 05:30,923
03/20/2021 05:35,927
03/20/2021 05:40,936
03/20/2021 05:45,935
03/20/2021 05:50,905
03/20/2021 05:55,876
03/20/2021 06:00,863
